corner,wn_store,wp_store,wn_access,temp,vdd,leakage_power_W
tt,2e-07,1.6e-07,1.2e-07,125,1.2,3.53761e-10
tt,2e-07,2e-07,1.2e-07,-40,1,6.02972e-11
tt,2e-07,2e-07,1.2e-07,-40,1.05,6.33121e-11
tt,2e-07,2e-07,1.2e-07,-40,1.1,6.63269e-11
tt,2e-07,2e-07,1.2e-07,-40,1.15,6.93418e-11
tt,2e-07,2e-07,1.2e-07,-40,1.2,7.23567e-11
tt,2e-07,2e-07,1.2e-07,0,1,6.36692e-11
tt,2e-07,2e-07,1.2e-07,0,1.05,6.68526e-11
tt,2e-07,2e-07,1.2e-07,0,1.1,7.00361e-11
tt,2e-07,2e-07,1.2e-07,0,1.15,7.32195e-11
tt,2e-07,2e-07,1.2e-07,0,1.2,7.6403e-11
tt,2e-07,2e-07,1.2e-07,27,1,7.18101e-11
tt,2e-07,2e-07,1.2e-07,27,1.05,7.54006e-11
tt,2e-07,2e-07,1.2e-07,27,1.1,7.89911e-11
tt,2e-07,2e-07,1.2e-07,27,1.15,8.25816e-11
tt,2e-07,2e-07,1.2e-07,27,1.2,8.61721e-11
tt,2e-07,2e-07,1.2e-07,85,1,1.45362e-10
tt,2e-07,2e-07,1.2e-07,85,1.05,1.5263e-10
tt,2e-07,2e-07,1.2e-07,85,1.1,1.59898e-10
tt,2e-07,2e-07,1.2e-07,85,1.15,1.67166e-10
tt,2e-07,2e-07,1.2e-07,85,1.2,1.74434e-10
tt,2e-07,2e-07,1.2e-07,125,1,3.05718e-10
